19/07/2004 02:51:05 p.m. Se conecto con ip:192.168.0.139
19/07/2004 02:51:29 p.m. Transporto a WAG hacia Mapa140 X:50 Y:50
19/07/2004 02:51:32 p.m. Transporto a WAG hacia Mapa140 X:53 Y:53
19/07/2004 02:51:33 p.m. Transporto a WAG hacia Mapa140 X:54 Y:58
19/07/2004 02:51:34 p.m. Transporto a WAG hacia Mapa140 X:54 Y:63
19/07/2004 02:51:34 p.m. Transporto a WAG hacia Mapa140 X:54 Y:68
19/07/2004 02:51:35 p.m. Transporto a WAG hacia Mapa140 X:53 Y:73
19/07/2004 02:51:35 p.m. Transporto a WAG hacia Mapa140 X:52 Y:78
19/07/2004 02:51:36 p.m. Transporto a WAG hacia Mapa140 X:52 Y:83
19/07/2004 02:51:36 p.m. Transporto a WAG hacia Mapa140 X:52 Y:88
19/07/2004 02:51:37 p.m. Transporto a WAG hacia Mapa140 X:52 Y:93
19/07/2004 02:51:40 p.m. Transporto a WAG hacia Mapa140 X:53 Y:93
19/07/2004 02:51:50 p.m. Transporto a WAG hacia Mapa140 X:53 Y:93
19/07/2004 02:52:10 p.m. /MASSKILL
19/07/2004 02:52:27 p.m. /CT: 1 50 50
19/07/2004 02:52:32 p.m. /DT
19/07/2004 02:52:36 p.m. /CT: 1 50 50
19/07/2004 02:52:54 p.m. Transporto a WAG hacia Mapa140 X:60 Y:50
19/07/2004 02:52:57 p.m. Transporto a WAG hacia Mapa140 X:60 Y:53
19/07/2004 02:52:57 p.m. Transporto a WAG hacia Mapa140 X:59 Y:57
19/07/2004 02:52:58 p.m. Transporto a WAG hacia Mapa140 X:56 Y:61
19/07/2004 02:52:58 p.m. Transporto a WAG hacia Mapa140 X:54 Y:66
19/07/2004 02:52:59 p.m. Transporto a WAG hacia Mapa140 X:53 Y:71
19/07/2004 02:53:00 p.m. Transporto a WAG hacia Mapa140 X:52 Y:76
19/07/2004 02:53:00 p.m. Transporto a WAG hacia Mapa140 X:52 Y:79
19/07/2004 02:53:01 p.m. Transporto a WAG hacia Mapa140 X:52 Y:82
19/07/2004 02:53:01 p.m. Transporto a WAG hacia Mapa140 X:52 Y:86
19/07/2004 02:53:02 p.m. Transporto a WAG hacia Mapa140 X:52 Y:90
19/07/2004 02:53:02 p.m. Transporto a WAG hacia Mapa140 X:52 Y:94
19/07/2004 02:53:08 p.m. /DT
19/07/2004 05:17:31 p.m. Se conecto con ip:200.82.77.155
19/07/2004 05:18:38 p.m. Se conecto con ip:200.82.77.155
19/07/2004 05:18:55 p.m. Se conecto con ip:200.82.77.155
19/07/2004 05:22:53 p.m. /IRA Sicarul Mapa:2 X:53 Y:8
19/07/2004 05:23:11 p.m. /IRA Sicarul Mapa:1 X:58 Y:51
19/07/2004 05:25:52 p.m. /TELEPLOC a x:42 Y:87 Map:34
19/07/2004 05:25:56 p.m. /TELEPLOC a x:38 Y:89 Map:34
19/07/2004 05:26:04 p.m. /TELEPLOC a x:40 Y:85 Map:34
19/07/2004 05:26:05 p.m. /TELEPLOC a x:40 Y:88 Map:34
19/07/2004 05:26:07 p.m. /TELEPLOC a x:41 Y:86 Map:34
19/07/2004 05:26:08 p.m. /TELEPLOC a x:39 Y:89 Map:34
19/07/2004 05:26:09 p.m. /TELEPLOC a x:38 Y:89 Map:34
19/07/2004 05:26:10 p.m. /TELEPLOC a x:36 Y:87 Map:34
19/07/2004 05:26:11 p.m. /TELEPLOC a x:39 Y:85 Map:34
19/07/2004 05:26:11 p.m. /TELEPLOC a x:42 Y:85 Map:34
19/07/2004 05:26:11 p.m. /TELEPLOC a x:41 Y:86 Map:34
19/07/2004 05:26:12 p.m. /TELEPLOC a x:39 Y:88 Map:34
19/07/2004 05:26:12 p.m. /TELEPLOC a x:37 Y:88 Map:34
19/07/2004 05:26:12 p.m. /TELEPLOC a x:37 Y:86 Map:34
19/07/2004 05:26:12 p.m. /TELEPLOC a x:34 Y:87 Map:34
19/07/2004 05:26:13 p.m. /TELEPLOC a x:37 Y:84 Map:34
19/07/2004 05:26:13 p.m. /TELEPLOC a x:38 Y:88 Map:34
19/07/2004 05:26:13 p.m. /TELEPLOC a x:41 Y:85 Map:34
19/07/2004 05:26:13 p.m. /TELEPLOC a x:39 Y:90 Map:34
19/07/2004 05:26:13 p.m. /TELEPLOC a x:42 Y:86 Map:34
19/07/2004 05:26:14 p.m. /TELEPLOC a x:41 Y:90 Map:34
19/07/2004 05:26:14 p.m. /TELEPLOC a x:41 Y:86 Map:34
19/07/2004 05:26:14 p.m. /TELEPLOC a x:37 Y:93 Map:34
19/07/2004 05:26:14 p.m. /TELEPLOC a x:39 Y:90 Map:34
19/07/2004 05:26:14 p.m. /TELEPLOC a x:38 Y:85 Map:34
19/07/2004 05:26:15 p.m. /TELEPLOC a x:37 Y:92 Map:34
19/07/2004 05:26:15 p.m. /TELEPLOC a x:37 Y:93 Map:34
19/07/2004 05:26:15 p.m. /TELEPLOC a x:37 Y:84 Map:34
19/07/2004 05:26:15 p.m. /TELEPLOC a x:39 Y:83 Map:34
19/07/2004 05:26:16 p.m. /TELEPLOC a x:39 Y:87 Map:34
