03/08/2004 10:07:39 p.m. Se conecto con ip:200.85.108.57
03/08/2004 10:11:00 p.m. Transporto a tkv hacia Mapa1 X:50 Y:50
03/08/2004 10:14:10 p.m. /INVISIBLE
03/08/2004 10:15:13 p.m. /INVISIBLE
03/08/2004 10:15:44 p.m. /IRA DiegoEzequiel Mapa:37 X:79 Y:49
03/08/2004 10:17:33 p.m. Transporto a tkv hacia Mapa74 X:84 Y:37
03/08/2004 10:17:50 p.m. Transporto a tkv hacia Mapa75 X:84 Y:37
03/08/2004 10:18:05 p.m. Transporto a tkv hacia Mapa24 X:75 Y:37
03/08/2004 10:18:18 p.m. Transporto a tkv hacia Mapa25 X:54 Y:37
03/08/2004 10:18:35 p.m. Transporto a tkv hacia Mapa75 X:65 Y:37
03/08/2004 10:18:46 p.m. /IRA DiegoEzequiel Mapa:1 X:61 Y:45
03/08/2004 10:19:25 p.m. Transporto a tkv hacia Mapa59 X:50 Y:50
03/08/2004 10:21:50 p.m. /IRA DiegoEzequiel Mapa:1 X:77 Y:55
03/08/2004 10:22:26 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:27 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:27 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:27 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:27 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:27 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:27 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:27 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:27 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:27 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:30 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:30 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:30 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:30 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:30 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:30 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:30 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:30 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:30 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:30 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:33 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:33 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:33 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:33 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:33 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:33 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:33 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:33 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:33 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:33 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:37 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:37 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:37 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:37 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:37 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:37 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:37 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:37 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:37 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:37 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:41 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:41 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:41 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:42 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:42 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:42 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:42 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:42 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:42 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:42 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:45 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
03/08/2004 10:22:45 p.m. Tiro cantidad:10000 Objeto:Monedas de oro
